index;fecha_hora;consumo_kWh;excedentes_kWh;reactiva_kVArh;capacitiva_kVArh;hora;fecha;tipo_dia;consumo_neto_kWh;vertido_neto_kWh;periodo
0;2025-01-01 00:00:00;0.162;;;;0;2025-01-01;L-V;0.162;0.0;P3
1;2025-01-01 01:00:00;0.298;;;;1;2025-01-01;L-V;0.298;0.0;P3
2;2025-01-01 02:00:00;0.14;;;;2;2025-01-01;L-V;0.14;0.0;P3
3;2025-01-01 03:00:00;0.1;;;;3;2025-01-01;L-V;0.1;0.0;P3
4;2025-01-01 04:00:00;0.111;;;;4;2025-01-01;L-V;0.111;0.0;P3
5;2025-01-01 05:00:00;0.141;;;;5;2025-01-01;L-V;0.141;0.0;P3
6;2025-01-01 06:00:00;0.12;;;;6;2025-01-01;L-V;0.12;0.0;P3
7;2025-01-01 07:00:00;0.105;;;;7;2025-01-01;L-V;0.105;0.0;P3
8;2025-01-01 08:00:00;0.104;;;;8;2025-01-01;L-V;0.104;0.0;P3
9;2025-01-01 09:00:00;0.115;;;;9;2025-01-01;L-V;0.115;0.0;P3
10;2025-01-01 10:00:00;0.456;;;;10;2025-01-01;L-V;0.456;0.0;P3
11;2025-01-01 11:00:00;0.608;;;;11;2025-01-01;L-V;0.608;0.0;P3
12;2025-01-01 12:00:00;0.639;;;;12;2025-01-01;L-V;0.639;0.0;P3
13;2025-01-01 13:00:00;0.309;;;;13;2025-01-01;L-V;0.309;0.0;P3
14;2025-01-01 14:00:00;0.16;;;;14;2025-01-01;L-V;0.16;0.0;P3
15;2025-01-01 15:00:00;0.154;;;;15;2025-01-01;L-V;0.154;0.0;P3
16;2025-01-01 16:00:00;0.259;;;;16;2025-01-01;L-V;0.259;0.0;P3
17;2025-01-01 17:00:00;0.77;;;;17;2025-01-01;L-V;0.77;0.0;P3
18;2025-01-01 18:00:00;1.286;;;;18;2025-01-01;L-V;1.286;0.0;P3
19;2025-01-01 19:00:00;1.972;;;;19;2025-01-01;L-V;1.972;0.0;P3
20;2025-01-01 20:00:00;2.45;;;;20;2025-01-01;L-V;2.45;0.0;P3
21;2025-01-01 21:00:00;2.58;;;;21;2025-01-01;L-V;2.58;0.0;P3
22;2025-01-01 22:00:00;2.519;;;;22;2025-01-01;L-V;2.519;0.0;P3
23;2025-01-01 23:00:00;1.393;;;;23;2025-01-01;L-V;1.393;0.0;P3
24;2025-01-02 00:00:00;0.331;;;;0;2025-01-02;L-V;0.331;0.0;P3
25;2025-01-02 01:00:00;0.31;;;;1;2025-01-02;L-V;0.31;0.0;P3
26;2025-01-02 02:00:00;0.261;;;;2;2025-01-02;L-V;0.261;0.0;P3
27;2025-01-02 03:00:00;0.131;;;;3;2025-01-02;L-V;0.131;0.0;P3
28;2025-01-02 04:00:00;0.133;;;;4;2025-01-02;L-V;0.133;0.0;P3
29;2025-01-02 05:00:00;0.105;;;;5;2025-01-02;L-V;0.105;0.0;P3
30;2025-01-02 06:00:00;0.111;;;;6;2025-01-02;L-V;0.111;0.0;P3
31;2025-01-02 07:00:00;0.159;;;;7;2025-01-02;L-V;0.159;0.0;P3
32;2025-01-02 08:00:00;0.301;;;;8;2025-01-02;L-V;0.301;0.0;P2
33;2025-01-02 09:00:00;0.721;;;;9;2025-01-02;L-V;0.721;0.0;P2
