index,fecha_hora,consumo_kWh,excedentes_kWh,reactiva_kVArh,capacitiva_kVArh,hora,tipo_dia,consumo_neto_kWh,vertido_neto_kWh,periodo
0,2024-10-01 00:00:00,8,0.0,1,,0,L-V,8.0,0.0,P6
1,2024-10-01 00:15:00,6,0.0,0,,0,L-V,6.0,0.0,P6
2,2024-10-01 00:30:00,7,0.0,1,,0,L-V,7.0,0.0,P6
3,2024-10-01 00:45:00,7,0.0,1,,0,L-V,7.0,0.0,P6
4,2024-10-01 01:00:00,7,0.0,1,,1,L-V,7.0,0.0,P6
5,2024-10-01 01:15:00,8,0.0,2,,1,L-V,8.0,0.0,P6
6,2024-10-01 01:30:00,7,0.0,1,,1,L-V,7.0,0.0,P6
7,2024-10-01 01:45:00,7,0.0,1,,1,L-V,7.0,0.0,P6
8,2024-10-01 02:00:00,7,0.0,1,,2,L-V,7.0,0.0,P6
9,2024-10-01 02:15:00,8,0.0,0,,2,L-V,8.0,0.0,P6
10,2024-10-01 02:30:00,9,0.0,1,,2,L-V,9.0,0.0,P6
11,2024-10-01 02:45:00,9,0.0,2,,2,L-V,9.0,0.0,P6
12,2024-10-01 03:00:00,7,0.0,2,,3,L-V,7.0,0.0,P6
13,2024-10-01 03:15:00,7,0.0,1,,3,L-V,7.0,0.0,P6
14,2024-10-01 03:30:00,7,0.0,1,,3,L-V,7.0,0.0,P6
15,2024-10-01 03:45:00,7,0.0,1,,3,L-V,7.0,0.0,P6
16,2024-10-01 04:00:00,7,0.0,2,,4,L-V,7.0,0.0,P6
17,2024-10-01 04:15:00,5,0.0,0,,4,L-V,5.0,0.0,P6
18,2024-10-01 04:30:00,7,0.0,1,,4,L-V,7.0,0.0,P6
19,2024-10-01 04:45:00,6,0.0,1,,4,L-V,6.0,0.0,P6
20,2024-10-01 05:00:00,7,0.0,1,,5,L-V,7.0,0.0,P6
21,2024-10-01 05:15:00,7,0.0,1,,5,L-V,7.0,0.0,P6
22,2024-10-01 05:30:00,8,0.0,1,,5,L-V,8.0,0.0,P6
23,2024-10-01 05:45:00,6,0.0,1,,5,L-V,6.0,0.0,P6
24,2024-10-01 06:00:00,6,0.0,1,,6,L-V,6.0,0.0,P6
25,2024-10-01 06:15:00,7,0.0,2,,6,L-V,7.0,0.0,P6
26,2024-10-01 06:30:00,7,0.0,0,,6,L-V,7.0,0.0,P6
27,2024-10-01 06:45:00,8,0.0,2,,6,L-V,8.0,0.0,P6
28,2024-10-01 07:00:00,7,0.0,1,,7,L-V,7.0,0.0,P6
29,2024-10-01 07:15:00,9,0.0,2,,7,L-V,9.0,0.0,P6
30,2024-10-01 07:30:00,8,0.0,2,,7,L-V,8.0,0.0,P6
31,2024-10-01 07:45:00,8,0.0,2,,7,L-V,8.0,0.0,P6
32,2024-10-01 08:00:00,9,0.0,2,,8,L-V,9.0,0.0,P5
33,2024-10-01 08:15:00,11,0.0,1,,8,L-V,11.0,0.0,P5
34,2024-10-01 08:30:00,11,0.0,2,,8,L-V,11.0,0.0,P5
35,2024-10-01 08:45:00,11,0.0,3,,8,L-V,11.0,0.0,P5
36,2024-10-01 09:00:00,7,0.0,2,,9,L-V,7.0,0.0,P4
37,2024-10-01 09:15:00,5,0.0,3,,9,L-V,5.0,0.0,P4
38,2024-10-01 09:30:00,6,0.0,2,,9,L-V,6.0,0.0,P4
39,2024-10-01 09:45:00,5,0.0,2,,9,L-V,5.0,0.0,P4
40,2024-10-01 10:00:00,8,0.0,3,,10,L-V,8.0,0.0,P4
41,2024-10-01 10:15:00,7,0.0,3,,10,L-V,7.0,0.0,P4
42,2024-10-01 10:30:00,5,0.0,4,,10,L-V,5.0,0.0,P4
43,2024-10-01 10:45:00,4,0.0,3,,10,L-V,4.0,0.0,P4
44,2024-10-01 11:00:00,5,1.0,1,,11,L-V,4.0,0.0,P4
45,2024-10-01 11:15:00,4,1.0,2,,11,L-V,3.0,0.0,P4
46,2024-10-01 11:30:00,5,0.0,3,,11,L-V,5.0,0.0,P4
47,2024-10-01 11:45:00,4,1.0,3,,11,L-V,3.0,0.0,P4
48,2024-10-01 12:00:00,5,0.0,2,,12,L-V,5.0,0.0,P4
49,2024-10-01 12:15:00,3,0.0,3,,12,L-V,3.0,0.0,P4
50,2024-10-01 12:30:00,4,1.0,3,,12,L-V,3.0,0.0,P4
51,2024-10-01 12:45:00,4,0.0,2,,12,L-V,4.0,0.0,P4
52,2024-10-01 13:00:00,5,2.0,1,,13,L-V,3.0,0.0,P4
53,2024-10-01 13:15:00,6,2.0,2,,13,L-V,4.0,0.0,P4
54,2024-10-01 13:30:00,7,1.0,1,,13,L-V,6.0,0.0,P4
55,2024-10-01 13:45:00,5,1.0,2,,13,L-V,4.0,0.0,P4
56,2024-10-01 14:00:00,6,1.0,2,,14,L-V,5.0,0.0,P5
57,2024-10-01 14:15:00,8,0.0,2,,14,L-V,8.0,0.0,P5
58,2024-10-01 14:30:00,8,0.0,1,,14,L-V,8.0,0.0,P5
59,2024-10-01 14:45:00,7,0.0,2,,14,L-V,7.0,0.0,P5
60,2024-10-01 15:00:00,6,1.0,2,,15,L-V,5.0,0.0,P5
61,2024-10-01 15:15:00,5,0.0,2,,15,L-V,5.0,0.0,P5
62,2024-10-01 15:30:00,6,0.0,3,,15,L-V,6.0,0.0,P5
63,2024-10-01 15:45:00,7,0.0,3,,15,L-V,7.0,0.0,P5
64,2024-10-01 16:00:00,7,0.0,3,,16,L-V,7.0,0.0,P5
65,2024-10-01 16:15:00,5,0.0,3,,16,L-V,5.0,0.0,P5
66,2024-10-01 16:30:00,2,0.0,2,,16,L-V,2.0,0.0,P5
67,2024-10-01 16:45:00,5,0.0,3,,16,L-V,5.0,0.0,P5
