fecha;hora;tecnologia;value
2022-01-01;1;HI;145.86
2022-01-01;2;HI;114.9
2022-01-01;3;RE;113.87
2022-01-01;4;TER;97.8
2022-01-01;5;TER;97.8
2022-01-01;6;TER;95.74
2022-01-01;7;TER;97.8
2022-01-01;8;RE;97.8
2022-01-01;9;RE;97.8
2022-01-01;10;RE;70.05
2022-01-01;11;RE;76.79
2022-01-01;12;TER;84.1
2022-01-01;13;TER;94.74
2022-01-01;14;TER;96.8
2022-01-01;15;TER;97.8
2022-01-01;16;HI;98.52
2022-01-01;17;HI;114.5
2022-01-01;18;RE;149.97
2022-01-01;19;TER;177.22
2022-01-01;20;HI;187.52
2022-01-01;21;HI;189.26
2022-01-01;22;HI;190.81
2022-01-01;23;HI;188.39
2022-01-01;24;BG;167.26
2022-01-02;1;RE;133.21
2022-01-02;2;RE;115.87
2022-01-02;3;HI;110.52
2022-01-02;4;RE;113.0
2022-01-02;5;RE;115.87
2022-01-02;6;HI;110.52
2022-01-02;7;RE;115.87
2022-01-02;8;RE;129.6
2022-01-02;9;RE;115.87
2022-01-02;10;RE;115.87
2022-01-02;11;RE;113.0
2022-01-02;12;TCC;103.7
2022-01-02;13;TCC;103.7
2022-01-02;14;HI;110.52
2022-01-02;15;RE;115.87
2022-01-02;16;RE;109.5
2022-01-02;17;RE;115.87
2022-01-02;18;TCC;159.79
2022-01-02;19;HI;194.25
2022-01-02;20;RE;198.0
2022-01-02;21;HI;208.38
2022-01-02;22;HI;209.1
2022-01-02;23;TCC;191.36
2022-01-02;24;RE;178.0
2022-01-03;1;HI;181.5
2022-01-03;2;HI;160.72
2022-01-03;3;TCC;154.64
2022-01-03;4;HI;149.86
2022-01-03;5;TCC;144.49
2022-01-03;6;HI;148.86
2022-01-03;7;HI;153.77
2022-01-03;8;HI;160.72
2022-01-03;9;HI;189.26
2022-01-03;10;HI;183.54
2022-01-03;11;HI;160.72
2022-01-03;12;TER;152.2
2022-01-03;13;HI;148.86
2022-01-03;14;TCC;142.04
2022-01-03;15;RE;127.38
2022-01-03;16;RE;112.87
2022-01-03;17;TCC;126.8
2022-01-03;18;HI;148.49
2022-01-03;19;RE;175.06
2022-01-03;20;RE;180.0
2022-01-03;21;HI;153.77
2022-01-03;22;TCC;141.94
2022-01-03;23;HI;114.11
2022-01-03;24;RE;100.36
2022-01-04;1;HI;125.47
2022-01-04;2;HI;115.55
2022-01-04;3;HI;113.29
2022-01-04;4;RE;105.81
2022-01-04;5;RE;105.0
2022-01-04;6;HI;115.11
2022-01-04;7;HI;153.77
2022-01-04;8;BG;161.03
2022-01-04;9;TER;178.91
2022-01-04;10;HI;190.0
2022-01-04;11;RE;189.88
2022-01-04;12;HI;182.42
2022-01-04;13;TER;182.46
2022-01-04;14;TER;179.59
2022-01-04;15;TER;163.2
2022-01-04;16;TCC;157.3
2022-01-04;17;BG;157.3
2022-01-04;18;BG;163.78
2022-01-04;19;HI;184.94
2022-01-04;20;HI;178.99
2022-01-04;21;TER;156.12
2022-01-04;22;HI;148.65
2022-01-04;23;HI;137.92
