Fecha;EUA;CER;SPREAD (EUA - CER)
02-01-2024;73.17;0.00;"73,17"
03-01-2024;74.57;0.00;"74,57"
04-01-2024;73.05;0.00;"73,05"
05-01-2024;73.56;0.00;"73,56"
08-01-2024;69.84;0.00;"69,84"
09-01-2024;69.30;0.00;"69,3"
10-01-2024;67.39;0.00;"67,39"
11-01-2024;66.12;0.00;"66,12"
12-01-2024;64.13;0.00;"64,13"
15-01-2024;64.85;0.00;"64,85"
16-01-2024;63.24;0.00;"63,24"
17-01-2024;61.58;0.00;"61,58"
18-01-2024;60.69;0.00;"60,69"
19-01-2024;61.30;0.00;"61,3"
22-01-2024;59.95;0.00;"59,95"
23-01-2024;60.78;0.00;"60,78"
24-01-2024;63.48;0.00;"63,48"
25-01-2024;60.93;0.00;"60,93"
26-01-2024;61.09;0.00;"61,09"
29-01-2024;59.62;0.00;"59,62"
30-01-2024;61.33;0.00;"61,33"
31-01-2024;61.96;0.00;"61,96"
01-02-2024;60.18;0.00;"60,18"
02-02-2024;61.27;0.00;"61,27"
05-02-2024;60.55;0.00;"60,55"
06-02-2024;61.44;0.00;"61,44"
07-02-2024;60.30;0.00;"60,3"
08-02-2024;58.89;0.00;"58,89"
09-02-2024;57.12;0.00;"57,12"
12-02-2024;55.78;0.00;"55,78"
13-02-2024;54.88;0.00;"54,88"
14-02-2024;54.75;0.00;"54,75"
15-02-2024;55.98;0.00;"55,98"
16-02-2024;55.26;0.00;"55,26"
19-02-2024;52.11;0.00;"52,11"
20-02-2024;52.78;0.00;"52,78"
21-02-2024;52.76;0.00;"52,76"
22-02-2024;51.03;0.00;"51,03"
23-02-2024;50.91;0.00;"50,91"
26-02-2024;52.21;0.00;"52,21"
27-02-2024;53.92;0.00;"53,92"
28-02-2024;55.21;0.00;"55,21"
29-02-2024;54.16;0.00;"54,16"
01-03-2024;54.08;0.00;"54,08"
04-03-2024;55.20;0.00;"55,2"
05-03-2024;58.43;0.00;"58,43"
06-03-2024;57.19;0.00;"57,19"
07-03-2024;57.23;0.00;"57,23"
08-03-2024;56.54;0.00;"56,54"
11-03-2024;54.42;0.00;"54,42"
12-03-2024;55.25;0.00;"55,25"
13-03-2024;54.29;0.00;"54,29"
14-03-2024;56.66;0.00;"56,66"
15-03-2024;57.56;0.00;"57,56"
18-03-2024;59.73;0.00;"59,73"
19-03-2024;59.19;0.00;"59,19"
20-03-2024;58.28;0.00;"58,28"
21-03-2024;57.38;0.00;"57,38"
22-03-2024;59.65;0.00;"59,65"
25-03-2024;63.02;0.00;"63,02"
26-03-2024;60.76;0.00;"60,76"
27-03-2024;60.58;0.00;"60,58"
28-03-2024;59.98;0.00;"59,98"
02-04-2024;57.04;0.00;"57,04"
03-04-2024;56.02;0.00;"56,02"
04-04-2024;56.84;0.00;"56,84"
05-04-2024;58.84;0.00;"58,84"
08-04-2024;61.73;0.00;"61,73"
09-04-2024;62.28;0.00;"62,28"
10-04-2024;61.12;0.00;"61,12"
11-04-2024;66.72;0.00;"66,72"
12-04-2024;69.58;0.00;"69,58"
15-04-2024;69.34;0.00;"69,34"
16-04-2024;71.58;0.00;"71,58"
17-04-2024;68.75;0.00;"68,75"
18-04-2024;68.78;0.00;"68,78"
19-04-2024;66.94;0.00;"66,94"
22-04-2024;64.54;0.00;"64,54"
23-04-2024;64.32;0.00;"64,32"
24-04-2024;64.71;0.00;"64,71"
25-04-2024;66.56;0.00;"66,56"
26-04-2024;65.35;0.00;"65,35"
29-04-2024;63.98;0.00;"63,98"
30-04-2024;67.35;0.00;"67,35"
01-05-2024;70.64;0.00;"70,64"
02-05-2024;66.08;0.00;"66,08"
03-05-2024;70.16;0.00;"70,16"
06-05-2024;71.62;0.00;"71,62"
07-05-2024;68.97;0.00;"68,97"
08-05-2024;69.97;0.00;"69,97"
09-05-2024;71.70;0.00;"71,7"
10-05-2024;70.09;0.00;"70,09"
13-05-2024;68.38;0.00;"68,38"
14-05-2024;68.61;0.00;"68,61"
15-05-2024;67.54;0.00;"67,54"
